stride,lr,conv2,conv1,n_grams,kernel_size,max_pool1,max_pool2,linear2,momentum,linear1,samples,fold,result
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,0,78.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,1,79.722222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,2,73.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,3,75.277777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,4,74.444444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,5,78.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,6,79.166666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,7,76.111111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,8,78.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,0,9,80.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,0,78.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,1,78.888888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,2,77.5
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,3,76.666666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,4,77.5
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,5,79.444444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,6,78.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,7,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,8,75.277777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,1,9,77.5
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,0,76.944444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,1,78.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,2,79.444444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,3,75.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,4,75.833333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,5,77.5
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,6,78.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,7,76.111111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,8,76.944444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,2,9,78.055555555555557
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,0,78.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,1,75.277777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,2,78.055555555555557
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,3,78.888888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,4,76.944444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,5,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,6,79.166666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,7,79.722222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,8,73.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,3,9,73.888888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,4,0,75.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,4,1,75.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,4,2,77.222222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,4,3,75.833333333333329
